volume,vw,open,close,high,low,date,n
357.0,218.6039,218.6,218.6,218.6,218.6,2024-08-13 08:50:00,11
1756.0,218.6475,218.6,218.54,218.75,218.54,2024-08-13 08:55:00,75
248.0,218.5404,218.54,218.54,218.54,218.54,2024-08-13 09:00:00,8
713.0,218.577,218.58,218.58,218.58,218.58,2024-08-13 09:05:00,20
100.0,218.54,218.54,218.54,218.54,218.54,2024-08-13 09:10:00,1
496.0,218.5907,218.58,218.6,218.6,218.58,2024-08-13 09:15:00,12
327.0,218.5462,218.56,218.56,218.56,218.56,2024-08-13 09:20:00,21
1006.0,218.5999,218.6,218.6,218.6,218.6,2024-08-13 09:25:00,3
717.0,218.59,218.6,218.56,218.6,218.56,2024-08-13 09:30:00,21
671.0,218.6145,218.64,218.59,218.64,218.59,2024-08-13 09:35:00,24
2430.0,218.6314,218.64,218.59,218.65,218.59,2024-08-13 09:40:00,36
351.0,218.6792,218.7,218.66,218.7,218.66,2024-08-13 09:45:00,12
1931.0,218.6091,218.65,218.5,218.65,218.5,2024-08-13 10:00:00,41
2693.0,218.52,218.59,218.48,218.59,218.48,2024-08-13 10:05:00,60
2696.0,218.4584,218.46,218.38,218.48,218.38,2024-08-13 10:10:00,60
1625.0,218.3449,218.4,218.3,218.41,218.3,2024-08-13 10:15:00,35
370.0,218.3104,218.3,218.3,218.3,218.3,2024-08-13 10:20:00,22
1762.0,218.2833,218.3,218.28,218.35,218.23,2024-08-13 10:25:00,51
992.0,218.2561,218.21,218.28,218.28,218.21,2024-08-13 10:30:00,31
2374.0,218.1216,218.25,218.05,218.25,218.05,2024-08-13 10:35:00,61
1748.0,217.9841,218.04,217.92,218.04,217.92,2024-08-13 10:40:00,68
1744.0,217.9805,217.91,218.03,218.03,217.9,2024-08-13 10:45:00,45
6797.0,217.6257,217.97,217.67,217.97,217.56,2024-08-13 10:50:00,134
526.0,217.8827,217.89,217.89,217.89,217.89,2024-08-13 10:55:00,6
4948.0,217.8908,217.92,217.98,217.98,217.85,2024-08-13 11:00:00,83
4707.0,217.9554,217.95,218.03,218.03,217.9,2024-08-13 11:05:00,159
1200.0,218.024,217.99,218.0,218.0,217.98,2024-08-13 11:10:00,36
522.0,218.1019,218.11,218.05,218.11,218.05,2024-08-13 11:15:00,9
825.0,218.1509,218.14,218.15,218.16,218.14,2024-08-13 11:20:00,16
3039.0,218.2469,218.18,218.3,218.3,218.16,2024-08-13 11:25:00,65
4408.0,218.2776,218.28,218.28,218.28,218.26,2024-08-13 11:30:00,26
3341.0,218.2762,218.31,218.26,218.32,218.26,2024-08-13 11:35:00,53
1620.0,218.2503,218.26,218.26,218.26,218.2,2024-08-13 11:40:00,35
767.0,218.2321,218.24,218.24,218.24,218.24,2024-08-13 11:45:00,22
321.0,218.2375,218.24,218.24,218.24,218.24,2024-08-13 11:50:00,16
41505.0,218.2455,217.97,218.5,219.0,217.79,2024-08-13 12:00:00,1060
10825.0,218.5179,218.47,218.63,218.7,218.46,2024-08-13 12:05:00,209
4075.0,218.6242,218.7,218.58,218.7,218.58,2024-08-13 12:10:00,140
10450.0,218.6612,218.63,218.62,218.75,218.6,2024-08-13 12:15:00,202
4870.0,218.597,218.62,218.45,218.7,218.45,2024-08-13 12:20:00,142
5222.0,218.4036,218.5,218.4,218.5,218.25,2024-08-13 12:25:00,162
29871.0,218.7523,218.52,219.0,219.01,218.35,2024-08-13 12:30:00,557
1522871.0,217.5419,218.67,218.66,218.85,218.57,2024-08-13 12:35:00,419
15920.0,218.6611,218.71,218.6,218.8,218.6,2024-08-13 12:40:00,356
10723.0,218.497,218.53,218.6,218.65,218.35,2024-08-13 12:45:00,331
25764.0,218.3189,218.56,218.38,218.56,218.1247,2024-08-13 12:50:00,388
18789.0,218.421,218.33,218.5009,218.53,218.3,2024-08-13 12:55:00,331
15233.0,218.494,218.58,218.39,218.6,218.38,2024-08-13 13:00:00,329
16327.0,218.4035,218.39,218.5,218.55,218.31,2024-08-13 13:05:00,331
20794.0,218.3723,218.5895,218.25,218.66,218.15,2024-08-13 13:10:00,508
16891.0,218.4021,218.25,218.5,218.57,218.25,2024-08-13 13:15:00,363
15143.0,218.6961,218.59,218.65,218.8,218.5,2024-08-13 13:20:00,472
46576.0,218.9761,218.75,219.04,219.2,218.75,2024-08-13 13:25:00,821
2688446.0,220.0333,219.01,220.9,221.03,219.01,2024-08-13 13:30:00,28607
1196093.0,221.1246,220.9,220.7748,221.47,220.73,2024-08-13 13:35:00,14630
831908.0,220.3568,220.7755,220.4211,220.79,220.0201,2024-08-13 13:40:00,10576
908323.0,220.3535,220.44,220.56,220.71,220.12,2024-08-13 13:45:00,10018
